location	Sample	Abundance
asRNA	2i_2d_rep1	0.236651614289609
conRNA	2i_2d_rep1	0.138151815131398
daRNA	2i_2d_rep1	0.0334103543244009
intergenic	2i_2d_rep1	4.03143003150445
mRNA	2i_2d_rep1	91.3397931747202
uaRNA	2i_2d_rep1	0.256697826884249
asRNA	2i_2d_rep2	0.275906742583346
conRNA	2i_2d_rep2	0.18436758967018
daRNA	2i_2d_rep2	0.0313725735336203
intergenic	2i_2d_rep2	4.71287941816574
mRNA	2i_2d_rep2	89.4653203157339
uaRNA	2i_2d_rep2	0.385906095987964
asRNA	2i_7d_rep1	0.24004138157825
conRNA	2i_7d_rep1	0.143010267086478
daRNA	2i_7d_rep1	0.0356733041262701
intergenic	2i_7d_rep1	4.05025299443194
mRNA	2i_7d_rep1	92.127930659606
uaRNA	2i_7d_rep1	0.200621425957831
asRNA	mTORi_1d_rep1	0.241811617020146
conRNA	mTORi_1d_rep1	0.162343076838715
daRNA	mTORi_1d_rep1	0.0303995785044029
intergenic	mTORi_1d_rep1	4.20641978044466
mRNA	mTORi_1d_rep1	91.2451051166829
uaRNA	mTORi_1d_rep1	0.264141386446904
asRNA	mTORi_1d_rep2	0.251677738640196
conRNA	mTORi_1d_rep2	0.179607938770652
daRNA	mTORi_1d_rep2	0.0341834114328954
intergenic	mTORi_1d_rep2	4.63614889524148
mRNA	mTORi_1d_rep2	90.7122505485204
uaRNA	mTORi_1d_rep2	0.324804757420037
asRNA	mTORi_2d_rep1	0.226905856494336
conRNA	mTORi_2d_rep1	0.155330815511284
daRNA	mTORi_2d_rep1	0.0321983793390923
intergenic	mTORi_2d_rep1	4.52524640306702
mRNA	mTORi_2d_rep1	90.6948134264066
uaRNA	mTORi_2d_rep1	0.309316928220509
asRNA	mTORi_2d_rep2	0.209046339916288
conRNA	mTORi_2d_rep2	0.135233102220614
daRNA	mTORi_2d_rep2	0.0296378895123595
intergenic	mTORi_2d_rep2	4.2970308248824
mRNA	mTORi_2d_rep2	91.3846532109397
uaRNA	mTORi_2d_rep2	0.265431396590617
asRNA	SL_rep1	0.262238308376423
conRNA	SL_rep1	0.207124907489572
daRNA	SL_rep1	0.0308604752475323
intergenic	SL_rep1	4.47766563034793
mRNA	SL_rep1	89.0608513666741
uaRNA	SL_rep1	0.366652738431724
asRNA	SL_rep2	0.220839396964207
conRNA	SL_rep2	0.111890093959671
daRNA	SL_rep2	0.0332169340265758
intergenic	SL_rep2	3.70465440384846
mRNA	SL_rep2	91.9054168809243
uaRNA	SL_rep2	0.219102929924032
asRNA	SL_rep3	0.19967365101448
conRNA	SL_rep3	0.102361530820449
daRNA	SL_rep3	0.0345074673613077
intergenic	SL_rep3	3.47786408185402
mRNA	SL_rep3	92.8870875909994
uaRNA	SL_rep3	0.220618651817226
asRNA	SL2i_2d_rep1	0.297937024972856
conRNA	SL2i_2d_rep1	0.253267724721048
daRNA	SL2i_2d_rep1	0.0337098898052533
intergenic	SL2i_2d_rep1	4.56765310601335
mRNA	SL2i_2d_rep1	88.7660128907062
uaRNA	SL2i_2d_rep1	0.434255088132696
asRNA	SL2i_2d_rep2	0.24133926091731
conRNA	SL2i_2d_rep2	0.106195849644112
daRNA	SL2i_2d_rep2	0.040867503936077
intergenic	SL2i_2d_rep2	4.03242273010024
mRNA	SL2i_2d_rep2	92.1128639554703
uaRNA	SL2i_2d_rep2	0.223599367208129
